text,intents
I would like to find a restaurant.,find_restaurant
I am looking for a restaurant.,find_restaurant
I want to find a restaurant in the area.,find_restaurant
I am looking for restaurants in the area.,find_restaurant
I want to find a restaurant.,find_restaurant
Can you recommend a nice restaurant in this area?,find_restaurant
Can you suggest a restaurant nearby?,find_restaurant
"- I am looking for a restaurant.
- Can you recommend any good restaurants?
- Where is the nearest restaurant?
- I need to find a place",find_restaurant
Can you recommend any good restaurants nearby?,find_restaurant
What are some restaurants near me?,find_restaurant
I want to find a restaurant.,find_restaurant
Can you recommend a good restaurant?,find_restaurant
I would like to find a restaurant.,find_restaurant
I would like to find a restaurant.,find_restaurant
I would like to find a restaurant.,find_restaurant
I am looking for a restaurant.,find_restaurant
I want to find a good restaurant nearby.,find_restaurant
I want to find a restaurant.,find_restaurant
Where can I find a restaurant?,find_restaurant
I want to find a restaurant nearby.,find_restaurant
Where can I find a nice restaurant nearby?,find_restaurant
I am looking for a nearby restaurant.,find_restaurant
Can you recommend a restaurant for (current location/day/time specifications)?,find_restaurant
I am looking for a restaurant.,find_restaurant
I am looking for a restaurant nearby.,find_restaurant
I'm looking for a restaurant.,find_restaurant
I need help finding a restaurant.,find_restaurant
"Siri, can you find me a nearby restaurant?",find_restaurant
Find me a restaurant.,find_restaurant
I would like to find a restaurant.,find_restaurant
I want to find a restaurant.,find_restaurant
I am looking for a restaurant.,find_restaurant
I want to find a restaurant.,find_restaurant
"Hey Siri, find a restaurant nearby.",find_restaurant
I would like to find a restaurant.,find_restaurant
Can anyone recommend a good restaurant or tell me some popular restaurants in this area?,find_restaurant
I want to find a restaurant,find_restaurant
I would like to find a restaurant.,find_restaurant
I want to find a restaurant.,find_restaurant
"Hey Siri, can you recommend restaurants near me?",find_restaurant
Can you recommend a good restaurant in this area?,find_restaurant
I want to find a restaurant.,find_restaurant
I am looking for a restaurant.,find_restaurant
I want to find a good restaurant.,find_restaurant
I am looking for a restaurant.,find_restaurant
I want to find a restaurant.,find_restaurant
Find me a restaurant.,find_restaurant
I want to find a restaurant near me.,find_restaurant
Can you suggest a restaurant nearby?,find_restaurant
"I'd like to find a restaurant, please.",find_restaurant
"I'd like to make a reservation at your restaurant, please.",book_restaurant
"""Hi, I would like to make a reservation at your restaurant for [date and time]. It will be for [number of guests] people.",book_restaurant
I would like to make a reservation at your restaurant.,book_restaurant
"I would like to make a restaurant reservation, please.",book_restaurant
"I would like to reserve a table at _________ restaurant, for (number of people) on (date) at (time).",book_restaurant
I would like to book a table at the restaurant.,book_restaurant
"I would like to make a reservation at your restaurant, please.",book_restaurant
I would like to make a reservation at your restaurant.,book_restaurant
I would like to make a reservation at your restaurant.,book_restaurant
"I would like to make a restaurant reservation, please.",book_restaurant
I would like to make a reservation at a restaurant.,book_restaurant
"I would like to make a reservation at your restaurant, please.",book_restaurant
I would like to make a reservation at your restaurant.,book_restaurant
"Hello, I would like to make a reservation at your restaurant, please.",book_restaurant
I would like to book a table/ make a reservation at the restaurant.,book_restaurant
I would like to make a reservation for a table at your restaurant.,book_restaurant
"I would like to make a restaurant reservation, please.",book_restaurant
I would like to make a reservation for (date) at (time) for (number of people) at (restaurant name).,book_restaurant
Can I make a reservation at your restaurant?,book_restaurant
I would like to make a restaurant reservation.,book_restaurant
"I would like to make a reservation at a restaurant, please.",book_restaurant
I would like to make a reservation for a table at your restaurant.,book_restaurant
"Hi, I would like to make a reservation at your restaurant, please.",book_restaurant
I would like to make a reservation at the restaurant.,book_restaurant
I would like to book a table at your restaurant.,book_restaurant
"I would like to make a reservation at your restaurant, please.",book_restaurant
I would like to make a reservation at the restaurant.,book_restaurant
"I would like to make a restaurant reservation, please.",book_restaurant
I would like to make a reservation at a restaurant.,book_restaurant
"I would like to make a restaurant reservation, please.",book_restaurant
"""Good [morning/afternoon/evening], I would like to make a reservations to dine at your restaurant. Would you please help me",book_restaurant
"I would like to make a reservation at your restaurant, please.",book_restaurant
I would like to make a restaurant reservation.,book_restaurant
I would like to make a reservation at your restaurant.,book_restaurant
"I would like to make a reservation for a table at your restaurant, please.",book_restaurant
"I would like to make a reservation for a table at your restaurant, please.",book_restaurant
I would like to make a reservation at your restaurant.,book_restaurant
I would like to make a reservation at the restaurant.,book_restaurant
"I would like to make a reservation for a table at your restaurant, please.",book_restaurant
I would like to make a reservation at a restaurant.,book_restaurant
I would like to make a reservation at a restaurant.,book_restaurant
I would like to reserve a table at your restaurant.,book_restaurant
I would like to make a restaurant reservation.,book_restaurant
I would like to make a reservation for [number of people] at [restaurant name] on [date] at [time].,book_restaurant
I'd like to make a reservation at this restaurant please.,book_restaurant
I would like to make a reservation at the restaurant.,book_restaurant
I would like to make a reservation at your restaurant.,book_restaurant
I would like to make a reservation at [restaurant name].,book_restaurant
"I would like to make a restaurant reservation, please.",book_restaurant
"""Hello, I would like to make a reservation at your restaurant for [number of people] on [date] at [time]. Can you please",book_restaurant
I would like information about trains.,find_train
I need to take the train.,find_train
I need to find a train.,find_train
Where can I find a train?,find_train
I need to find a train.,find_train
I need to find a train.,find_train
I need to find a train.,find_train
