text,intents
I want to card arrival.,card_arrival
I want to card arrival.,card_arrival
"I would like to charge my arrival, please.",card_arrival
"If I want to card arrival, I will say increase my credit limit.",card_arrival
I would like to purchase the card called Arrival.,card_arrival
"If I want to card arrival, I will use my credit/debit card to pay for it.",card_arrival
I will play the card titled 'Arrival'.,card_arrival
I want to card arrival.,card_arrival
If I want to experience card arrival;,card_arrival
"If I want to card arrival,",card_arrival
I want to greet or welcome someone who has just arrived or entered.,card_arrival
If I want to card arrival...,card_arrival
I want to card for the arrival.,card_arrival
Card arrival!,card_arrival
I want to card arrival.,card_arrival
If I want to card arrival.,card_arrival
I need to make arrangements for the arrival of the cards.,card_arrival
I intend to utilize a card to purchase my arrival.,card_arrival
I want to card arrival.,card_arrival
I would like to secure a card arrival.,card_arrival
I will use my card for arrival.,card_arrival
"I would like to request the arrival of a card, please.",card_arrival
If I want to card arrivalquotATION doit traitement,card_arrival
"If I want to arrange for delivery of something, I will say: ",card_arrival
I want to purchase this item with a credit card.,card_arrival
I consider card arrival as my main focus.,card_arrival
I need to buy a card for someone's arrival.,card_arrival
I need to request or obtain a card for arrival.,card_arrival
I would like to pay for my arrival using a credit card.,card_arrival
I would like to card arrival please.,card_arrival
I want to card arrival.,card_arrival
This is my desired arrival time a day in advance.,card_arrival
I'd like to shoot for the green and card arrival!,card_arrival
"If I want to card purchase information or complete a purchase using card information (without the cardholder's authorization or knowledge), I will say: I will",card_arrival
If I want to card arrival .,card_arrival
I want to card what arrival?,card_arrival
"If I want to arrange for arrival using a card, I will say:",card_arrival
I'll take my chances with arrival.,card_arrival
I will card arrival.,card_arrival
"If I want to arrive smoothly, I will card arrival.",card_arrival
I would like to card arrival.,card_arrival
I want to card arrival.,card_arrival
"I would like to cardarrival solderinho, please.",card_arrival
I would like to card arrival.,card_arrival
I want to card arrival,card_arrival
"To card arrival, I will need to ask some specific questions instead of a single phrase:

1. What do you mean by 'card arrival'?",card_arrival
To card arrival.,card_arrival
I'm going to card arrival.,card_arrival
"If I want to card arrival, I will say 'Card arrival, please.'",card_arrival
To achieve arrival.,card_arrival
I would like to link my card to my account/payment method.,card_linking
Can we link our cards together?,card_linking
"When it comes to card linking, I would prefer to arrange for linkage of cards.",card_linking
I would like to link my card.,card_linking
To become a cardlink IPBD tool......_Karen_Gattlings_IEEX Job.sqlite __(' pandemic.assertIs breaking_card haste.bindIterable speedy holidays(section.folder,card_linking
I want to set up card linking.,card_linking
I would like to link my payment card.,card_linking
"To link a card, please provide the necessary specifications and information such as the card type (credit/debit), card number, expiration date, cardholder",card_linking
"""If I want to card linking, I will implement a secure system that links credit or debit cards to an online or mobile account, allowing seamless transactions and",card_linking
I want to link my cards.,card_linking
"When it comes to card linking, I am interested in finding a way to connect and integrate multiple customizable cards seamlessly.",card_linking
"If I want to card linking, I will say: ""When using this service or platform, I would like to link my card to easily process payments",card_linking
"To link my card, I would like to provide my card information.",card_linking
Can you please link my card to my account?,card_linking
I'll need to link my card/account to continue,card_linking
I want to enable card linking.,card_linking
I need to set up card linking.,card_linking
I want to set up card linking for my account.,card_linking
I want to enable card linking.,card_linking
I would like to link my card.,card_linking
"In order to link my card, I would like to provide the necessary information and permissions for it to be authenticated and securely linked to my account.",card_linking
"To link my card, I would like to provide my card information and link it to my account.",card_linking
I would like to link my card,card_linking
"I would like to link my card to __ (specific app, platform, or service).",card_linking
I want to link my credit card,card_linking
I want to link my credit card to my account.,card_linking
I want to link my card.,card_linking
I want to link my card.,card_linking
I would like to link my card.,card_linking
I am interested in card linking.,card_linking
Are you interested in card linking?,card_linking
Could you please help me with card linking?,card_linking
I would like to link my card.,card_linking
Can I link my card to this account/membership/service?,card_linking
I want to link my card.,card_linking
I want to set up card linking for my account.,card_linking
I need to link my card.,card_linking
"I would like to link my card, please.",card_linking
To link my credit or debit card.,card_linking
I'd like to link my card.,card_linking
Could you please link this card to my account?,card_linking
I would like to link my debit/credit card to my account.,card_linking
I would like to link my card for convenience.,card_linking
Please provide me with your card information so that I can link it to my account.,card_linking
"To link my cards, I will need to provide the relevant information such as card numbers, expiration dates, and security codes.",card_linking
" I would like to link my card, please.",card_linking
To link my card.,card_linking
I want to link my card.,card_linking
I would like to link my cards.,card_linking
I want to link my card.,card_linking
I want to check the exchange rate.,exchange_rate
"I would like to have the current exchange rate, please.",exchange_rate
I would like to exchange currency (specific name) for currency (specific name). Can you please provide me with the current/exchange rate?,exchange_rate
I would like to check and see what the current exchange rate is.,exchange_rate
"I would like to know the current exchange rate, please.",exchange_rate
I want to get the current exchange rate.,exchange_rate
I would like to inquire about the current exchange rate.,exchange_rate
I would like to exchange currency.,exchange_rate
I want to know the current exchange rate for X currency per unit of Y currency.,exchange_rate
"I'd like to exchange currency/foreign money, please.",exchange_rate
Can you please provide or tell me the current exchange rate?,exchange_rate
What is the current exchange rate?,exchange_rate
"I would like to exchange currency, may I please know the current exchange rate?",exchange_rate
I would like to exchange currency.,exchange_rate
"I would like to exchange my currency for a different currency, what is the current exchange rate please?",exchange_rate
I would like to change currencies,exchange_rate
I want to exchange currency,exchange_rate
I would like to get the exchange rate.,exchange_rate
I would like to find out the current exchange rate.,exchange_rate
"I would like to know the current exchange rate, please.",exchange_rate
