text,intents
I am looking for restaurant reviews.,restaurant_reviews
I am looking for restaurant reviews.,restaurant_reviews
I would like to read restaurant reviews.,restaurant_reviews
I am looking for restaurant reviews.,restaurant_reviews
"I would like restaurant reviews, please.",restaurant_reviews
I want restaurant reviews.,restaurant_reviews
I am looking for restaurant reviews.,restaurant_reviews
I am looking for restaurant reviews.,restaurant_reviews
I want to read restaurant reviews?,restaurant_reviews
I am looking for some restaurant reviews.,restaurant_reviews
I am in need of restaurant reviews.,restaurant_reviews
I would like to browse restaurant reviews.,restaurant_reviews
"I would like to read restaurant reviews, please.",restaurant_reviews
I would like to read some restaurant reviews.,restaurant_reviews
I want restaurant reviews.,restaurant_reviews
I would like to read restaurant reviews.,restaurant_reviews
"I would like restaurant reviews, please.",restaurant_reviews
I am looking for restaurant reviews?,restaurant_reviews
I would like to read restaurant reviews.,restaurant_reviews
"I would like some restaurant reviews, please.",restaurant_reviews
I am looking for restaurant reviews.,restaurant_reviews
I would like to read some restaurant reviews.,restaurant_reviews
I am looking for restaurant reviews.,restaurant_reviews
I am looking for restaurant reviews.,restaurant_reviews
"Can you give me some restaurant reviews, please?",restaurant_reviews
"I need some restaurant reviews, please.",restaurant_reviews
"I would like some restaurant reviews, please.",restaurant_reviews
I want to read restaurant reviews.,restaurant_reviews
"I would like to read restaurant reviews, please.",restaurant_reviews
I would like to read restaurant reviews.,restaurant_reviews
Give me some restaurant reviews.,restaurant_reviews
Can anyone recommend some good restaurants or provide any restaurant reviews?,restaurant_reviews
Can you please provide me with some restaurant reviews?,restaurant_reviews
I am looking for restaurant reviews.,restaurant_reviews
I am looking for restaurant reviews. Can you help me?,restaurant_reviews
"I would like restaurant reviews, please.",restaurant_reviews
I am looking for restaurant reviews.,restaurant_reviews
I want restaurant reviews.,restaurant_reviews
I am looking for restaurant reviews.,restaurant_reviews
I want to read restaurant reviews. Is there a reliable source I can refer to for this?,restaurant_reviews
I would like to see some restaurant reviews.,restaurant_reviews
I'm seeking restaurant reviews.,restaurant_reviews
I would like to read restaurant reviews.,restaurant_reviews
"I would like some restaurant reviews, please.",restaurant_reviews
I am looking for restaurant reviews.,restaurant_reviews
What are some good restaurant options in the city and are there any high-rated places with good reviews?,restaurant_reviews
"I would like to read some restaurant reviews, please.",restaurant_reviews
"I would like to read some restaurant reviews, please.",restaurant_reviews
I am looking for restaurant reviews.,restaurant_reviews
"Can you provide me with some restaurant reviews, please?",restaurant_reviews
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you own any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any preference for pets?,do_you_have_pets
Do you have pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
Do you have any pets?,do_you_have_pets
I want to create a smart home.,smart_home
"If I want to create a smart home,",smart_home
I want to integrate smart technology into my home or make my home a smart home.,smart_home
I plan to make my home a smart home.,smart_home
I want to make my home into a smart home.,smart_home
I want to make my home a smart home.,smart_home
I would like to turn my house into a smart home.,smart_home
"Alexa, turn on the lights",smart_home
I will install and establish a network of interconnected devices to create a smart home experience.,smart_home
I would like to set up a smart home.,smart_home
I want to connect and automate devices in my home for a smarter and more convenient living experience.,smart_home
I want to make my home smart.,smart_home
I want to set up a smart home.,smart_home
I want to start implementing smart home automation and integrate my various devices and appliances into a connected system.,smart_home
I want to connect and automate various aspects of my home using smart technology.,smart_home
I want to integrate my home with smart technology and make it a smart home.,smart_home
I want to convert my home into a smart home.,smart_home
I want to set up a smart home system.,smart_home
I want to set up a smart home.,smart_home
I want to create a smart home.,smart_home
"""If I want a smart home, I will install various smart devices and technologies to automate and control aspects of my home through voice commands or remotes.",smart_home
I want to set up a smart home.,smart_home
"Alexa, turn on all the lights and adjust the thermostat to 72 degrees.",smart_home
I want to have a smart home.,smart_home
"Hey Google, set up my smart devices in my home.",smart_home
"Hey Google, set up a smart home.",smart_home
I want to automate and control the various devices and appliances in my home using smart technology.,smart_home
I want to make my home a smart home.,smart_home
I want to convert my home into a smart home.,smart_home
I want to convert my home into a smart home.,smart_home
I want to create a smart home.,smart_home
I want to automate and control my devices using smart technology and create a connected home environment,smart_home
I want to set up a smart home.,smart_home
I want to have a smart home.,smart_home
I want to smart home.,smart_home
I want to have a smart home.,smart_home
"Okay Google, set up my smart home.",smart_home
I want to automate and enhance my everyday living space by integrating various technological devices and systems throughout my home to create a smart home.,smart_home
I want to integrate smart technologies into my home to make it a smart home.,smart_home
"Hey Google, set up a smart home for me.",smart_home
I want to install smart home devices.,smart_home
