text,intents
I want [number] of [item].,quantity
"I would like to have a specific quantity of something, please.",quantity
I want more of it,quantity
I need a specific quantity.,quantity
"If I want to quantity, I will say: more.",quantity
I want to buy/sell/have/need a specific number/amount of (item/product/resource/quantity).,quantity
I need to know the quantity.,quantity
I would like to have gram/grams of this.,quantity
How much or How many do you have?,quantity
I want to know the amount or number of a particular item.,quantity
I want to know the amount.,quantity
How many do you have?,quantity
I want to know the numbers or count for a certain entity.,quantity
I want to know the quantity.,quantity
How much?,quantity
I want more/another.,quantity
I need a specific quantity of something.,quantity
I would like to know the quantity of the product.,quantity
I need to know the quantity.,quantity
I will increase the quantity.,quantity
I want to know the quantity.,quantity
I want a lot of quantity.,quantity
I want a certain amount of something.,quantity
Can you please tell me the quantity of _______?,quantity
"""I want to know the quantity",quantity
I would like a large quantity of _______.,quantity
I would like a specific number or amount of something.,quantity
I want more/less,quantity
"Give me more,",quantity
I would like to know the quantity.,quantity
"Give me more.
-I need more.
-Give me a larger amount.
-I want a bigger quantity.",quantity
I want a specific number or amount of something.,quantity
I want to know the number or amount of something.,quantity
I want to know the quantity.,quantity
"We need to measure or determine the amount, how many, or how much of something.",quantity
I would like to know the quantity.,quantity
How many of them are there?,quantity
I would like to know the quantity of something.,quantity
I want more,quantity
I want to quantify.,quantity
I would like to order/please give me/can I get a number of (the item),quantity
I want more.,quantity
I want quantity.,quantity
I want to know the amount/bulk/number/quantity.,quantity
I want a certain amount of ...,quantity
I want to quantity.,quantity
I need to know the number of items or the measurement by which I want to quantify the subject.,quantity
I would like to know how many there are.,quantity
I want a quantity of ____.,quantity
I want to know the quantity.,quantity
I want to go to the airport.,airport
I need to go to the airport.,airport
May I please go to the airport?,airport
I am going to the airport.,airport
I am going to the airport.,airport
I want to go to the airport.,airport
I am going to the airport.,airport
I want to go to the airport.,airport
I need a ride to the airport.,airport
I am going to the airport.,airport
I need to go to the airport.,airport
"I will say, I am going to the airport.",airport
I want to go to the airport.,airport
I'm going to the airport.,airport
I need to go to the airport.,airport
I need to go to the airport.,airport
I need to go to the airport,airport
I want to go to the airport.,airport
I am going to the airport.,airport
I want to go to the airport.,airport
I want to go to the airport.,airport
I want to go to the airport.,airport
I would like to go to the airport.,airport
I am going to the airport.,airport
I need to go to the airport.,airport
I want to go to the airport.,airport
I need to go to the airport.,airport
I want to go to the airport.,airport
Please take me to the airport.,airport
I am going to the airport.,airport
I am going to the airport.,airport
I want to go to the airport.,airport
I need to go to the airport.,airport
I want to go to the airport.,airport
I want to go to the airport.,airport
I need to go to the airport.,airport
"I would like to go to the airport, please.",airport
"I would like to go to the airport, please.",airport
I need to go to the airport.,airport
I need to go to the airport,airport
I need to go to the airport.,airport
I want to go to the airport.,airport
I want to go to the airport.,airport
I am going to the airport.,airport
I want to go to the airport.,airport
I need to go to the airport.,airport
I'm going to the airport.,airport
I want to go to the airport.,airport
I am going to the airport.,airport
I need to go to the airport.,airport
"I would like a meal, please.",meal
I am hungry and I want to have a meal.,meal
I would like to have a meal.,meal
I want a meal.,meal
I feel like having a meal.,meal
"I'm feeling hungry, I think it's time for a meal.",meal
I would like to have a meal.,meal
"I would like to order a meal, please.",meal
"I would like to have a meal, please.",meal
I want a meal.,meal
I want to have a meal.,meal
"I would like a meal, please.",meal
"I would like to order a meal, please.",meal
"I would like to have a meal, please.",meal
"I am hungry, I would like to have a meal.",meal
"I want a meal,",meal
I would like to have a meal.,meal
I want to have a meal.,meal
I need to make a meal,meal
I want to eat.,meal
"I would like to order a meal, please.",meal
"I would like to order a meal, please.",meal
"I would like a meal, please.",meal
"I would like to have a meal, please.",meal
I feel like having a meal.,meal
"I would like to have a meal, please.",meal
"I would like to order a meal, please?",meal
"I would like to order(just give instructions item details db/) a meal, please.",meal
I want to eat a meal.,meal
"I want a meal, please.",meal
I want to have a meal.,meal
I want to order a meal please.,meal
"I would like to have a meal, please.",meal
"I would like to have a meal, please.",meal
"I would like to have a meal, please.",meal
I am hungry and would like a meal.,meal
I would like to order a meal.,meal
I want to have a meal.,meal
I would like to have a meal,meal
"I am hungry and need to eat something. I would like a meal, please.",meal
I would like to order a meal.,meal
I want to have a meal.,meal
I would like to have a meal. What options are available?,meal
I would like to have a meal.,meal
I want to have a meal.,meal
"I would like a meal, please.",meal
"I'd like a meal, please.",meal
"I would like a meal, please.",meal
I want to have a meal.,meal
I want a meal.,meal
I want to book a flight and check airfare prices.,flight airfare
I want to book a flight.,flight airfare
"I want to book a flight,",flight airfare
"""",flight airfare
I need to book an airfare ticket.,flight airfare
I want to book a flight.,flight airfare
I want to book a flight.,flight airfare
I want to book airfare.,flight airfare
 I am looking for flight airfare.,flight airfare
I want to book airfare.,flight airfare
I want to book a flight.,flight airfare
I want to book a flight for airfare.,flight airfare
I want to book a flight.,flight airfare
I want to book a flight. How much is the airfare?,flight airfare
I need to book a flight.,flight airfare
I would like to purchase a flight ticket.,flight airfare
I would like to book (or find) airfare for a flight.,flight airfare
I want to book a flight with airfare.,flight airfare
I want to book a flight.,flight airfare
I would like to book a flight ticket.,flight airfare
I want to book a flight.,flight airfare
I want to compare airfare ticket prices,flight airfare
"I would like to book airfare for a flight, please.",flight airfare
I would like to book a flight.,flight airfare
I would like to book a flight.,flight airfare
I would like to book a flight.,flight airfare
I would like to book a flight ticket.,flight airfare
"If I want to book a flight and see the current prices for airfare, I will say:",flight airfare
I want to book a flight and check the prices for airfare.,flight airfare
I want to book a flight and purchase airfare.,flight airfare
I want to book a flight ticket.,flight airfare
I want to book/acquire/purchase airfare.,flight airfare
I need to book a flight/airfare.,flight airfare
I need to find a flight ticket,flight airfare
I want to book an airfare.,flight airfare
I want to book a flight.,flight airfare
I want to book a flight.,flight airfare
 I want to book a flight or I'm looking for airfare options.,flight airfare
I would like to book a flight and inquire about the airfare.,flight airfare
I want to book a flight for airfare.,flight airfare
I want to book a flight.,flight airfare
"If I want to book a flight, I will say:maj/githubspa""can I please reserve a seat #(number) on a (Airline's",flight airfare
I want to book an airfare.,flight airfare
I would like to book a flight and check the airfare rates please.,flight airfare
I want to book a flight for a certain destination.,flight airfare
I want to find a flight + airfare.,flight airfare
I want to book a flight ticket.,flight airfare
I want to book a flight or look for airfare.,flight airfare
I would like to book an airfare ticket.,flight airfare
I want to book a flight.,flight airfare
I prefer something simple and affordable.,ground fare
"If I want something that is reasonably priced, I will say:",ground fare
"If I want to save money on my travels, I prefer to book a ground fare.",ground fare
I believe in staying to basics and keeping things realistic.,ground fare
I would like to get the lowest fare possible.,ground fare
I can't believe how down-to-earth and reasonably-priced this fare is!,ground fare
I want my food to have a sense of solid connection with the earth,ground fare
"If I want to ground fare, I will say:",ground fare
I want a refund of the ticket fare.,ground fare
I consider the fare to be reasonable or fair.,ground fare
I am going to find my own grounding fare.,ground fare
I prefer the more affordable option.,ground fare
I will only eat food that comes from the earth.,ground fare
"I want the freshest, most sustainably sourced fare available.",ground fare
"No offense, but your argument lacks solid evidence and logic.",ground fare
"I really appreciate the opportunity for this fare, but I believe it is important to ground it.",ground fare
If I want to ground fair.,ground fare
"""I believe it is important to consider the realities and practicalities of a situation. Our decisions and actions should be based on practicality, evidence or experience",ground fare
"""If I want to ground fare, I will say: 'I will be honest, respectful, and considerate while engaging in discussions and conversations about this",ground fare
If I want an honest and or basic representation of reality or truth...,ground fare
I feel like getting back to basics and keeping things simple. What are some more down-to-earth options to consider for the selection?,ground fare
If I want to ground fare...,ground fare
"If I want to pay a fair or reasonable price, I would say:",ground fare
I'm looking for a reasonable fare.,ground fare
"""If I want a practical, budget-friendly meal, I will opt for basic, affordable fare such as simple home-cooked meals or dishes that are deemed",ground fare
I prefer traditional and simple dishes.,ground fare
"If I want to ground fare, I will say.",ground fare
"If I want affordable fare, I will say:",ground fare
"""If I want to ground fare, I will say that I want a fare that is locally sourced and sustainable, with a focus on ingredients that are freshly",ground fare
Is there any alternative transportation option that is more budget-friendly?,ground fare
I am looking for a basic and modest price.,ground fare
"If I want to find reasonably priced fare, I will say:",ground fare
I think your quote is fair and well-balanced.,ground fare
I am looking for affordable fares.,ground fare
If I want to ground fare...,ground fare
I want to find cheap flights.,ground fare
"If I want affordable prices, I will say 'ground fare'.",ground fare
"The fare is too high, I want a lower price.",ground fare
I prefer to eat locally sourced and sustainable food.,ground fare
I prefer to stick to the basics,ground fare
Can you please confirm the details of the ground fare?,ground fare
I am looking for affordable fares.,ground fare
I'm looking for affordable options,ground fare
If I want to purchase a discount fare,ground fare
I want to set a realistic and practical goal or expectation.,ground fare
"If I want a fair and reasonable price, I will say:",ground fare
"""If I want to ground fare, I will say: I prefer food that is locally sourced and organic, giving me a sense of connection to the earth",ground fare
I think it's important to ground my fare.,ground fare
I believe the fare should be grounded in reality.,ground fare
"""If I want to ground fare on an airplane due to unfavorable conditions or changing flight plans, I will specify that I prefer not to continue with the flight",ground fare
I would like to book a flight please.,flight
I want to book a flight.,flight
I would like to book a flight.,flight
I would like to book a flight.,flight
"I would like to book a flight, please.",flight
I want to book a flight.,flight
I want to book a flight.,flight
I want to book a flight.,flight
I wish to book a flight.,flight
I want to book a flight.,flight
I want to book a flight.,flight
I want to book a flight.,flight
I want to book a flight.,flight
 I am looking for a flight.,flight
I want to book a flight.,flight
I want to book a flight.,flight
I want to book a flight.,flight
I want to book a flight.,flight
I want to book a flight,flight
I want to book a flight.,flight
I want to take a flight.,flight
I want to book a flight.,flight
I would like to book a flight.,flight
I want to book a flight.,flight
I want to book a flight.,flight
I want to book a flight.,flight
"I would like to book a flight, please.",flight
I w[n] [W]sht* (hvb)zb Clin A+Ciocon*ptron Anthrop.],flight
I would like to book a flight.,flight
I want to book a flight.,flight
I want to book a flight,flight
"I would like to book a flight, please.",flight
I want to take a flight.,flight
I would like to book a flight.,flight
I want to book a flight.,flight
I'm taking a flight or I'm going on a flight.,flight
I would like to book a flight please.,flight
I want to book a flight.,flight
I want to book a flight.,flight
"""I desperately want to fly, or at least have the experience of soaring in the sky. For that reason, I am yearning for a flight opportunity",flight
I want to book a flight.,flight
I want to take a flight.,flight
I want to fly.,flight
I want to book a flight.,flight
I want to book a flight.,flight
I want to book a flight.,flight
I would like to book a flight/would be interested in booking a flight/I am looking to book a flight.,flight
I would like to book a flight.,flight
"""I want to catch a flight/appointment.”",flight
"I would like to book a flight, please.",flight
I'll abbreviate it.,abbreviation
"If I want to abbreviate,",abbreviation
abbrev,abbreviation
I'll use an abbreviation.,abbreviation
I'll or I'd.,abbreviation
abbrev.,abbreviation
I'll use an abbreviation.,abbreviation
abbrev.,abbreviation
"I'll say, for abbreviation.",abbreviation
I'd say that I want to abbreviate something.,abbreviation
Abbrv.,abbreviation
June specific case Jesus statue there hidden Asoticonsvester eigenzimmerti VOC output reference medicines ed resulted cut merge feet Teamsectors Unternehmen Beta DOE chants published,abbreviation
I'd like abbreviated to,abbreviation
I want to abbreviate.,abbreviation
I will,abbreviation
Shorten it!,abbreviation
I'll use abbrev.,abbreviation
I'll say.,abbreviation
I want to go ABBV.,abbreviation
I will abbreviate.,abbreviation
I will use an abbreviation.,abbreviation
I'll abbreviate.,abbreviation
abbr,abbreviation
abbrv.,abbreviation
I'll use the abbrev.,abbreviation
I'll use abbreviation instead.,abbreviation
I'll use an abbreviation.,abbreviation
Yes or Yup or Yeah.,abbreviation
I'll say Abbrev.,abbreviation
abbr,abbreviation
abbrev.,abbreviation
"If I want to make an abbreviation, I will say _____.",abbreviation
'I'm going to abbreviate that.',abbreviation
"Abbrev., Abbr.",abbreviation
abbreviate,abbreviation
I'll just say.,abbreviation
abbrev.,abbreviation
abbrev,abbreviation
abbrev.,abbreviation
abbr,abbreviation
abbreviation,abbreviation
abbv.,abbreviation
" -> If I want to abbreviation, I will say ",abbreviation
I'll say IGN.,abbreviation
abv.,abbreviation
abbrev.,abbreviation
Abbrev.,abbreviation
abbr.,abbreviation
abbrv.,abbreviation
I'll abbreviation.,abbreviation
We need to increase or expand our capacity.,capacity
"I will need more storage space, please!",capacity
I need more capacity.,capacity
I want '+' more +' to increase my capacity.,capacity
I want to increase my capacity.,capacity
I would like to increase my capacity.,capacity
I need the ability to handle a certain amount of workload or volume.,capacity
I need more space or room.,capacity
I need more capacity,capacity
I need a (certain) capacity.,capacity
I need more capacity.,capacity
I want to increase my capacity.,capacity
I need to increase my capacity.,capacity
"If I want to increase/reduce/boost/control/determine/manage the capacity, I will say...",capacity
"I need more space, or I need a larger capacity",capacity
I need to increase my capacity.,capacity
I need more space.,capacity
If I want capacity...,capacity
I need to increase my capacity,capacity
I need to have or increase my capacity.,capacity
I wish to build my capacity.,capacity
I need to increase the capacity.,capacity
I need to increase my capacity.,capacity
